Chain,Item,Type,Serving Size,Calories,Calories from fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Chol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugar (g),Protein (g),Bad Fat
Burger King,Whopper Sandwich_FA22,Whopper Sandwiches,270.0,660,360,40,12.0,1.5,90,980,49,2,11,28,0.3375
Burger King,Whopper Sandwich with Cheese,Whopper Sandwiches,292.0,740,420,46,16.0,2.0,115,1340,50,2,11,32,0.391304347826087
Burger King,Bacon & Cheese Whopper Sandwich,Whopper Sandwiches,303.0,790,460,51,17.0,2.0,125,1560,50,2,11,35,0.37254901960784315
Burger King,Double Whopper Sandwich,Whopper Sandwiches,354.0,900,520,58,20.0,3.0,175,1050,49,2,11,48,0.39655172413793105
Burger King,Double Whopper Sandwich with Cheese,Whopper Sandwiches,377.0,980,580,64,24.0,3.0,195,1410,50,2,11,52,0.421875
Burger King,Triple Whopper Sandwich,Whopper Sandwiches,438.0,1130,680,75,28.0,4.0,255,1120,49,2,11,67,0.4266666666666667
Burger King,Triple Whopper Sandwich with Cheese,Whopper Sandwiches,461.0,1220,740,82,32.0,4.5,280,1470,50,2,11,71,0.4451219512195122
Burger King,Whopper JR Sandwich,Whopper Sandwiches,134.0,310,160,18,5.0,0.5,40,390,27,1,7,13,0.3055555555555556
Burger King,Bacon King Sandwich,Flame Broiled Burgers,356.0,1150,710,79,31.0,3.5,240,2150,49,2,10,61,0.43670886075949367
Burger King,Cheddar Bacon King Sandwich,Flame Broiled Burgers,366.0,1190,750,84,33.0,3.5,235,1930,50,2,11,64,0.43452380952380953
Burger King,Single Quarter Pound King Sandwich,Flame Broiled Burgers,231.0,580,260,29,13.0,1.5,105,1310,49,2,10,32,0.5
Burger King,Double Quarter Pound King Sandwich,Flame Broiled Burgers,338.0,900,480,54,25.0,3.0,210,1740,50,2,11,56,0.5185185185185185
Burger King,Single Stacker King,Flame Broiled Burgers,223.0,700,380,42,16.0,2.0,125,1360,48,1,10,35,0.42857142857142855
Burger King,Double Stacker King,Flame Broiled Burgers,334.0,1050,610,68,28.0,3.5,235,1870,49,1,11,61,0.4632352941176471
Burger King,Impossible Whopper Sandwich,Flame Broiled Burgers,285.0,630,310,34,11.0,0.0,10,1080,58,4,12,25,0.3235294117647059
Burger King,Hamburger,Flame Broiled Burgers,99.0,240,90,10,3.5,0.5,35,380,26,1,6,13,0.4
Burger King,Cheeseburger,Flame Broiled Burgers,111.0,280,120,13,6.0,0.5,45,560,27,1,7,15,0.5
