Name,Platform,Year,Genre,Publisher
Pitfall!,2600,1981,Platform,Activision
Pac-Man,2600,1982,Puzzle,Atari
Duck Hunt,NES,1984,Shooter,Nintendo
Super Mario Bros.,NES,1985,Platform,Nintendo
The Legend of Zelda,NES,1986,Action,Nintendo
Super Mario Bros. 3,NES,1988,Platform,Nintendo
Super Mario Bros. 2,NES,1988,Platform,Nintendo
Tetris,NES,1988,Puzzle,Nintendo
Tetris,GB,1989,Puzzle,Nintendo
Super Mario Land,GB,1989,Platform,Nintendo
Dr. Mario,GB,1989,Puzzle,Nintendo
Super Mario World,SNES,1990,Platform,Nintendo
Dr. Mario,NES,1990,Puzzle,Nintendo
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo
Super Mario Kart,SNES,1992,Racing,Nintendo
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom
Sonic the Hedgehog 2,GEN,1992,Platform,Sega
Kirby's Dream Land,GB,1992,Platform,Nintendo
Super Mario All-Stars,SNES,1993,Platform,Nintendo
Donkey Kong Country,SNES,1994,Platform,Nintendo
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo
Super Mario 64,N64,1996,Platform,Nintendo
Mario Kart 64,N64,1996,Racing,Nintendo
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios
Resident Evil,PS,1996,Action,Virgin Interactive
Tomb Raider,PS,1996,Action,Eidos Interactive
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment
GoldenEye 007,N64,1997,Shooter,Nintendo
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment
Tomb Raider II,PS,1997,Action,Eidos Interactive
Diddy Kong Racing,N64,1997,Racing,Nintendo
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment
Resident Evil 2,PS,1998,Action,Virgin Interactive
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft
Driver,PS,1999,Action,GT Interactive
Super Smash Bros.,N64,1999,Fighting,Nintendo
Pokemon Stadium,N64,1999,Strategy,Nintendo
Pokemon Pinball,GB,1999,Misc,Nintendo
Donkey Kong 64,N64,1999,Platform,Nintendo
Super Mario Bros.,GB,1999,Platform,Nintendo
Tony Hawk's Pro Skater,PS,1999,Sports,Activision
Warzone 2100,PS,1999,Strategy,Eidos Interactive
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft
Driver 2,PS,2000,Action,Atari
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment
Super Mario Advance,GBA,2001,Platform,Nintendo
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo
Super Mario World,GBA,2001,Platform,Nintendo
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment
Super Mario Sunshine,GC,2002,Platform,Nintendo
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo
Spider-Man: The Movie,PS2,2002,Action,Activision
Need for Speed Underground,PS2,2003,Racing,Electronic Arts
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts
Super Mario Bros. 3,GBA,2003,Platform,Nintendo
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo
Super Mario 64,DS,2004,Platform,Nintendo
Halo 2,XB,2004,Shooter,Microsoft Game Studios
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo
World of Warcraft,PC,2004,Role-Playing,Activision
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix
Madden NFL 2005,PS2,2004,Sports,Electronic Arts
Nintendogs,DS,2005,Simulation,Nintendo
Mario Kart DS,DS,2005,Racing,Nintendo
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive
Big Brain Academy,DS,2005,Misc,Nintendo
Madden NFL 06,PS2,2005,Sports,Electronic Arts
God of War,PS2,2005,Action,Sony Computer Entertainment
Wii Sports,Wii,2006,Sports,Nintendo
New Super Mario Bros.,DS,2006,Platform,Nintendo
Wii Play,Wii,2006,Misc,Nintendo
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
Gears of War,X360,2006,Shooter,Microsoft Game Studios
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix
Cooking Mama,DS,2006,Simulation,505 Games
Guitar Hero II,PS2,2006,Misc,RedOctane
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
Madden NFL 07,PS2,2006,Sports,Electronic Arts
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment
Wii Fit,Wii,2007,Sports,Nintendo
Halo 3,X360,2007,Shooter,Microsoft Game Studios
Super Mario Galaxy,Wii,2007,Platform,Nintendo
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision
Mario Party DS,DS,2007,Misc,Nintendo
Mario Party 8,Wii,2007,Misc,Nintendo
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts
Assassin's Creed,X360,2007,Adventure,Ubisoft
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo
Link's Crossbow Training,Wii,2007,Shooter,Nintendo
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts
Assassin's Creed,PS3,2007,Adventure,Ubisoft
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision
Mario Kart Wii,Wii,2008,Racing,Nintendo
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo
Call of Duty: World at War,X360,2008,Shooter,Activision
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment
