Name,Rank,Sport,Height,Nation,Pay,Salary,Endorsements
Aaron Rodgers,55,Football,188,United States,22000000,14500000,7500000
Adam Scott,95,Golf,183,Australia,17700000,8700000,9000000
Adrian Gonzalez,60,Baseball,188,United States,21500000,21100000,400000
Alex Rodriguez,48,Baseball,190,United States,22900000,22600000,300000
Alfonso Soriano,93,Baseball,185,Dominican Republic,18050000,18000000,50000
Amar'e Stoudemire,27,Basketball,211,United States,26700000,21700000,5000000
Barry Zito,75,Baseball,188,United States,20400000,20300000,100000
Blake Griffin,47,Basketball,208,United States,23000000,16500000,6500000
Branden Albert,91,Football,196,United States,18435000,18400000,35000
Brandon Marshall,97,Football,193,United States,17500000,16800000,700000
Carl Crawford,74,Baseball,188,United States,20500000,20200000,300000
Carlos Dunlap,84,Football,198,United States,18750000,18700000,50000
Carmelo Anthony,24,Basketball,203,United States,29400000,21400000,8000000
CC Sabathia,37,Baseball,201,United States,24200000,23000000,1200000
Chris Paul,37,Basketball,183,United States,24200000,18700000,5500000
Chris Bosh,57,Basketball,211,United States,21800000,19300000,2500000
Cliff Lee,30,Baseball,190,United States,25300000,25100000,200000
Cole Hamels,70,Baseball,193,United States,20700000,20500000,200000
Darrelle Revis,40,Football,180,United States,23800000,23000000,800000
David Ortiz,80,Baseball,195,Dominican Republic,19800000,14800000,5000000
Derek Jeter,35,Baseball,190,United States,24300000,15300000,9000000
Deron Williams,79,Basketball,191,United States,20000000,18500000,1500000
Derrick Rose,13,Basketball,191,United States,36600000,17600000,19000000
Dirk Nowitzki,45,Basketball,213,Germany,23200000,22700000,500000
Zack Greinke,33,Baseball,188,United States,24450000,24400000,50000
Drew Brees,66,Football,183,United States,21000000,10000000,11000000
Dwight Howard,29,Basketball,211,United States,25500000,20500000,5000000
Dwyane Wade,23,Basketball,193,United States,29900000,18900000,11000000
Tiger Woods,6,Golf,185,United States,61200000,6200000,55000000
Eli Manning,66,Football,193,United States,21000000,13500000,7500000
Manny Pacquiao,11,Boxing,152,Philippines,41800000,41000000,800000
Felix Hernandez,77,Baseball,190,Venezuela,20300000,20100000,200000
Fernando Alonso,21,Racing,171,Spain,31000000,29000000,2000000
Fernando Torres,63,Soccer,186,Spain,21300000,17800000,3500000
Floyd Mayweather,1,Boxing,173,United States,105000000,105000000,0
Franck Ribéry,92,Soccer,170,France,18300000,16800000,1500000
Gareth Bale,14,Soccer,183,Wales,36400000,25400000,11000000
Geno Atkins,53,Football,185,United States,22350000,22300000,50000
Yaya Touré,59,Soccer,191,Ivory Coast,21700000,19200000,2500000
Henrik Stenson,64,Golf,185,Sweden,21200000,18000000,3200000
Jairus Byrd,94,Football,178,United States,18000000,17900000,100000
Jason Peters,70,Football,193,United States,20750000,20700000,50000
Jayson Werth,97,Baseball,196,United States,17500000,17300000,200000
Jeff Gordon,86,Racing,150,United States,18700000,13700000,5000000
Jimmie Johnson,42,Racing,165,United States,23500000,17000000,6500000
Joe Johnson,52,Basketball,201,United States,22500000,21500000,1000000
Johan Santana,48,Baseball,183,Venezuela,22900000,22500000,400000
Matthew Stafford,18,Football,188,United States,33000000,31500000,1500000
Albert Pujols,77,Baseball,190,Dominican Republic,20300000,18300000,2000000
Miguel Cabrera,32,Baseball,193,Venezuela,24600000,22600000,2000000
Joe Mauer,31,Baseball,196,United States,24800000,23000000,1800000
Joe Haden,62,Football,180,United States,21350000,21200000,150000
Julius Peppers,69,Football,201,United States,20800000,20400000,400000
Justin Verlander,70,Baseball,196,United States,20700000,20200000,500000
Kevin Durant,20,Basketball,206,United States,31900000,17900000,14000000
Kobe Bryant,5,Basketball,198,United States,61500000,30500000,31000000
Larry Fitzgerald,89,Football,191,United States,18500000,17000000,1500000
LeBron James,3,Basketball,203,United States,72300000,19300000,53000000
Lewis Hamilton,19,Racing,174,England,32000000,29000000,3000000
Li Na,41,Tennis,172,China,23600000,5600000,18000000
Lionel Messi,4,Soccer,169,Argentina,64700000,41700000,23000000
Luis Suárez,100,Soccer,181,Uruguay,17300000,13300000,4000000
Mahendra Singh Dhoni,22,Cricket,175,India,30000000,4000000,26000000
Maria Sharapova,34,Tennis,188,Russia,24400000,2400000,22000000
Mark Teixeira,50,Baseball,191,United States,22700000,22500000,200000
Matt Kemp,51,Baseball,193,United States,22600000,21800000,800000
Matt Ryan,10,Football,193,United States,43800000,42000000,1800000
Matt Cain,75,Baseball,190,United States,20400000,20000000,400000
Matt Holliday,99,Baseball,193,United States,17400000,17200000,200000
Mesut Özil,89,Soccer,181,Germany,18500000,12500000,6000000
Neymar,16,Soccer,175,Brazil,33600000,17600000,16000000
Novak Djokovic,17,Tennis,188,Serbia,33100000,12100000,21000000
Pau Gasol,57,Basketball,213,Spain,21800000,19300000,2500000
Peyton Manning,26,Football,196,United States,27100000,15100000,12000000
Phil Mickelson,8,Golf,190,United States,53200000,5200000,48000000
Prince Fielder,39,Baseball,183,United States,23900000,23500000,400000
Radamel Falcao,15,Soccer,177,Colombia,35400000,32400000,3000000
Rafael Nadal,9,Tennis,185,Spain,44500000,14500000,30000000
Dale Earnhardt Jr.,28,Racing,165,United States,25900000,14900000,11000000
Robin van Persie,81,Soccer,183,Netherlands,19500000,16500000,3000000
Robinson Cano,60,Baseball,183,Dominican Republic,21500000,18000000,3500000
Roger Federer,7,Tennis,183,Switzerland,56200000,4200000,52000000
Rory McIlroy,35,Golf,175,Northern Ireland,24300000,4300000,20000000
Rudy Gay,88,Basketball,203,United States,18600000,17900000,700000
Russell Westbrook,82,Basketball,191,United States,19200000,14700000,4500000
Ryan Howard,53,Baseball,193,United States,22400000,21700000,700000
Canelo Alvarez,66,Boxing,180,Mexico,21000000,19500000,1500000
Sebastian Vettel,83,Racing,176,Germany,19000000,18000000,1000000
Serena Williams,55,Tennis,175,United States,22000000,11000000,11000000
Sergio Agüero,44,Soccer,173,Argentina,23300000,18300000,5000000
Steven Gerrard,86,Soccer,183,England,18700000,13200000,5500000
Terrell Suggs,96,Football,191,United States,17600000,17400000,200000
Tim Lincecum,73,Baseball,180,United States,20550000,20300000,250000
Usain Bolt,45,Track,196,Jamaica,23200000,200000,23000000
Vernon Wells,65,Baseball,185,United States,21100000,21000000,100000
Wayne Rooney,43,Soccer,176,England,23400000,18400000,5000000
Wladimir Klitschko,25,Boxing,198,Ukraine,28000000,24000000,4000000
Zach Randolph,84,Basketball,206,United States,18800000,18300000,500000
Zlatan Ibrahimović,12,Soccer,195,Sweden,40400000,36400000,4000000
Cristiano Ronaldo,2,Soccer,185,Portugal,80000000,52000000,28000000
